🎁YXJDSS私用2023,#genre#
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
神乐影片2,http://epg.112114.xyz/douyu/85894
周末影院,http://epg.112114.xyz/douyu/3637765
CCTV放映室,http://epg.112114.xyz/douyu/10011042
精品电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225718/index.m3u8
邵氏影院,http://wtv.weetai.cn/iptv/2022/tyzb09.php?id=4246519
华数高清,http://125.210.152.19:9090/live/hzgq-hsfwgq-h264.m3u8
华数4K影院,http://111.40.196.30/0000000000001000/1.m3u8?Contentid=6000000003000004748&livemode=1&stbId=1213&channel-id=wasusyt
Hot欧美影院,http://cache.ott.fifalive.itv.cmvideo.cn:80/7185203501769528108/index.m3u8?channel-id=wasusyt&Contentid=7185203501769528108&livemode=1&stbId=no
Hot亚洲影院,http://cache.ott.fifalive.itv.cmvideo.cn:80/5841816227539527643/index.m3u8?channel-id=wasusyt&Contentid=5841816227539527643&livemode=1&stbId=n
TVB剧场,http://112.74.200.9:88/tv000000/m3u8.php?/migu/631354620

洗脑 | 🇨🇳央视,#genre#
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV-1HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1HD,http://open.live-web.timetv.cn/live03/cctv4k.m3u8
CCTV-1HD,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-1HD,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
CCTV-1HD,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-1HD,http://yingliu.8866.org:8181/tsfile/live/0001_1.m3u8$超清1080P
CCTV-1HD,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8$超清1080P
CCTV-1HD,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8$超清1080P
CCTV-1HD,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-1HD,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3$超清1080P
CCTV-1HD,http://39.134.67.110/PLTV/88888888/224/3221225816/index.m3u8$超清1080P
CCTV-1HD,http://222.175.159.226:808/hls/1/index.m3u8$超清1080P
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8$超清1080P
CCTV4K,http://open.live-web.timetv.cn/live03/cctv4k.m3u8$4K
CCTV4K,https://p.ggiptv.com/v/4k.m3u8$4K
CCTV4K,http://fangsong.live/hls/cctv4k.php$4K
CCTV-2HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2HD,http://wtv.weetai.cn/iptv/2022/tyzb01.php?id=cctv2hd
CCTV-2HD,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2HD,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8$超清1080P
CCTV-2HD,http://yingliu.8866.org:8181/tsfile/live/0002_1.m3u8$超清1080P
CCTV-2HD,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-2HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8$超清1080P
CCTV-2HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8$超清1080P
CCTV-2HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8$超清1080P
CCTV-2HD,http://222.175.159.226:808/hls/2/index.m3u8$超清1080P
CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV-3HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3HD,http://39.134.32.102:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-3HD,http://yingliu.8866.org:8181/tsfile/live/0003_1.m3u8$超清1080P
CCTV-3HD,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8$超清1080P
CCTV-3HD,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8$超清1080P
CCTV-3HD,http://222.175.159.226:808/hls/3/index.m3u8$超清1080P
CCTV-3HD,http://39.134.67.110/PLTV/88888888/224/3221225799/index.m3u8$超清1080P
CCTV-4HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV-4HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4HD,http://111.12.110.134:6610/PLTV/77777777/224/3221225761/index.m3u8?IASHttpSessionId=OTT3174120220914063719000314&blog.ntnas.top=$超清1080P
CCTV-4HD,http://yingliu.8866.org:8181/tsfile/live/0004_1.m3u8$超清1080P
CCTV-4HD,http://111.20.33.70/TVOD/88888893/224/3221226223/index.m3u8$超清1080P
CCTV-4HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8$超清1080P
CCTV-4HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$超清1080P
CCTV-4HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8$超清1080P
CCTV-4HD,http://39.135.138.59:18890/PLTV/88888888/224/3221225621/index.m3u8$超清1080P
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8
CCTV-5HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/index.m3u8
CCTV-5HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8CCTV5,http://39.134.32.102:6610/270000001111/1110000053/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-5HD,http://yingliu.8866.org:8181/tsfile/live/0005_1.m3u8$超清1080P
CCTV-5HD,http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-5HD,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8$超清1080P
CCTV-5HD,http://111.20.33.70/PLTV/88888893/224/3221226395/index.m3u8$超清1080P
CCTV-5HD,http://39.134.67.110/PLTV/88888888/224/3221225818/index.m3u8$超清1080P
CCTV-5HD,http://222.175.159.226:808/hls/5/index.m3u8$超清1080P
CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV-5+HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV-5+HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+HD,http://39.134.32.102:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-5+HD,http://yingliu.8866.org:8181/tsfile/live/0016_1.m3u8$超清1080P
CCTV-5+HD,http://222.175.159.226:808/hls/6/index.m3u8$超清1080P
CCTV-5+HD,http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8$超清1080P
CCTV-5+HD,http://111.20.33.70/PLTV/88888893/224/3221226221/index.m3u8$超清1080P
CCTV-5+HD,http://39.134.67.110/PLTV/88888888/224/3221225507/index.m3u8$超清1080P
CCTV-6HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV-6HD,http://39.134.32.102:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-6HD,http://yingliu.8866.org:8181/tsfile/live/0006_1.m3u8$超清1080P
CCTV-6HD,http://111.20.33.70/TVOD/88888893/224/3221226393/index.m3u8$超清1080P
CCTV-6HD,http://111.20.33.70/PLTV/88888893/224/3221226393/index.m3u8$超清1080P
CCTV-6HD,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8$超清1080P
CCTV-6HD,http://222.175.159.226:808/hls/7/index.m3u8$超清1080P
CCTV-6HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8$超清1080P
CCTV-7HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV-7HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8
CCTV-7HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7HD,http://yingliu.8866.org:8181/tsfile/live/0007_1.m3u8$超清1080P
CCTV-7HD,http://111.20.33.70/TVOD/88888893/224/3221226192/index.m3u8$超清1080P
CCTV-7HD,http://39.134.115.163:8080/TVOD/88888910/224/3221225644/index.m3u8$超清1080P
CCTV-7HD,http://222.175.159.226:808/hls/8/index.m3u8$超清1080P
CCTV-7HD,http://39.134.67.110/PLTV/88888888/224/3221225671/index.m3u8$超清1080P
CCTV-7HD,http://39.134.66.163/PLTV/88888888/224/3221225671/index.m3u8$超清1080P
CCTV-8HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8
CCTV-8HD,http://39.134.32.102:6610/270000001111/1110000309/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-8HD,http://yingliu.8866.org:8181/tsfile/live/0008_1.m3u8$超清1080P
CCTV-8HD,http://111.20.33.70/TVOD/88888893/224/3221226012/index.m3u8$超清1080P
CCTV-8HD,http://111.20.33.70/TVOD/88888893/224/3221226391/index.m3u8$超清1080P
CCTV-8HD,http://222.175.159.226:808/hls/9/index.m3u8$超清1080P
CCTV-8HD,http://111.40.196.25/PLTV/88888888/224/3221225565/index.m3u8$超清1080P
CCTV-8HD,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8$超清1080P
CCTV-9HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV-9HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8
CCTV-9HD,http://yingliu.8866.org:8181/tsfile/live/0009_1.m3u8$超清1080P
CCTV-9HD,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8$超清1080P
CCTV-9HD,http://111.20.33.70/TVOD/88888893/224/3221226197/index.m3u8$超清1080P
CCTV-9HD,http://222.175.159.226:808/hls/10/index.m3u8$超清1080P
CCTV-9HD,http://39.134.67.110/PLTV/88888888/224/3221225676/index.m3u8$超清1080P
CCTV-9HD,http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8$超清1080P
CCTV-10HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV-10HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8
CCTV-10HD,http://yingliu.8866.org:8181/tsfile/live/0010_1.m3u8$超清1080P
CCTV-10HD,http://111.20.33.70/PLTV/88888893/224/3221226189/index.m3u8$超清1080P
CCTV-10HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8$超清1080P
CCTV-10HD,http://222.175.159.226:808/hls/11/index.m3u8$超清1080P
CCTV-10HD,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203503.m3u8$超清1080P
CCTV-10HD,http://39.134.67.110/PLTV/88888888/224/3221225677/index.m3u8$超清1080P
CCTV-11HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV-11HD,http://yingliu.8866.org:8181/tsfile/live/0011_1.m3u8$超清1080P
CCTV-11HD,http://111.20.33.70/PLTV/88888893/224/3221226240/index.m3u8$超清1080P
CCTV-11HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8$超清1080P
CCTV-11HD,http://39.134.67.110/PLTV/88888888/224/3221225517/index.m3u8$超清1080P
CCTV-11HD,http://222.175.159.226:808/hls/12/index.m3u8$超清1080P
CCTV-11HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8$超清1080P
CCTV-12HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV-12HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8
CCTV-12HD,http://yingliu.8866.org:8181/tsfile/live/0012_1.m3u8$超清1080P
CCTV-12HD,http://111.20.33.70/PLTV/88888893/224/3221226190/index.m3u8$超清1080P
CCTV-12HD,http://222.175.159.226:808/hls/13/index.m3u8$超清1080P
CCTV-12HD,http://39.134.67.110/PLTV/88888888/224/3221225669/index.m3u8$超清1080P
CCTV-12HD,http://111.20.33.70/TVOD/88888893/224/3221226190/index.m3u8$超清1080P
CCTV-12HD,http://39.134.115.163:8080/TVOD/88888910/224/3221225628/index.m3u8$超清1
CCTV-13HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV-13HD,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8$超清1080P
CCTV-13HD,http://yingliu.8866.org:8181/tsfile/live/0013_1.m3u8$超清1080P
CCTV-13HD,http://111.20.33.70/PLTV/88888893/224/3221226233/index.m3u8$超清1080P
CCTV-13HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8$超清1080P
CCTV-13HD,http://222.175.159.226:808/hls/14/index.m3u8$超清1080P
CCTV-13HD,http://39.134.67.110/PLTV/88888888/224/3221225812/index.m3u8$超清1080P
CCTV-13HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8$超清1080P
CCTV-14HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV-14HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225640/index.m3u8
CCTV-14HD,http://yingliu.8866.org:8181/tsfile/live/0014_1.m3u8$超清1080P
CCTV-14HD,http://111.20.33.70/PLTV/88888893/224/3221226193/index.m3u8$超清1080P
CCTV-14HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8$超清1080P
CCTV-14HD,http://39.134.67.110/PLTV/88888888/224/3221225674/index.m3u8$超清1080P
CCTV-14HD,http://111.40.196.30/PLTV/88888888/224/3221225573/index.m3u8$超清1080P
CCTV-14HD,http://222.175.159.226:808/hls/15/index.m3u8$超清1080P
CCTV-15HD,http://39.135.138.58:18890/PLTV/88888888/224/3221225641/index.m3u8
CCTV-15HD,http://yingliu.8866.org:8181/tsfile/live/0015_1.m3u8$超清1080P
CCTV-15HD,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000205003.m3u8$超清1080P
CCTV-15HD,http://111.20.33.70/TVOD/88888888/224/3221225785/index.m3u8$超清1080P
CCTV-15HD,http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8$超清1080P
CCTV-15HD,http://39.134.67.110/PLTV/88888888/224/3221225513/index.m3u8$超清1080P
CCTV-15HD,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8$超清1080P
CCTV-15HD,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8$超清1080P
CCTV-16,http://39.135.138.58:18890/PLTV/88888888/224/3221226230/index.m3u8
CCTV-16,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV-16,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012492303.m3u8$4K
CCTV-16,http://111.20.33.70/TVOD/88888893/224/3221226921/index.m3u8$超清1080P
CCTV-16,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8$超清1080P
CCTV-16,http://39.135.138.58:18890/TVOD/88888910/224/3221226230/index.m3u8$超清1080P
CCTV-16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8$超清1080P
CCTV-17,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8
CCTV-17,http://39.135.138.58:18890/PLTV/88888888/224/3221225908/index.m3u8
CCTV-17,http://39.134.32.102:6610/270000001111/1110000391/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV-17,http://39.134.67.110/PLTV/88888888/224/3221225708/index.m3u8$超清1080P
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8$超清1080P
CCTV-17,http://111.20.33.70/TVOD/88888893/224/3221226198/index.m3u8$超清1080P
CCTV-17,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8$超清1080P
CCTV-17,http://222.175.159.226:808/hls/18/index.m3u8$超清1080P
CETV1,https://txycsbl.centv.cn/zb/0628cetv1.m3u8$超清1080P
CETV2,https://txycsbl.centv.cn/zb/0728cetv2.m3u8$超清1080P
CETV3,https://txycsbl.centv.cn/zb/0728cetv3.m3u8$超清1080P
CETV4,https://txycsbl.centv.cn/zb/0728cetv4.m3u8$超清1080P
陶瓷高清,https://live.v1.mk/api/bestv.php?id=taocihd/8000000
热门剧场,http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/rmjc8m/8000000/mnf.m3u8
热门综艺,http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/rmzy8m/8000000/mnf.m3u8
HBO2,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CGTN,https://live.cgtn.com/1000/prog_index.m3u8
CGTN,http://39.135.138.58:18890/PLTV/88888888/224/3221225747/index.m3u8
CGTN纪录,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
CETV4,http://[2409:8087:5011:1020::15]/180000001001/00000001000000001017000000440665/index.m3u8?IASHttpSessionId=OTT
CCTV电视指南,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV央视文化精品,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002535/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
CCTV世界地理,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
CCTV风云剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
CCTV风云音乐,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
CCTV第一剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
CCTV女性时尚,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002475/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
CCTV怀旧剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002495/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
CCTV风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
CCTV风云足球,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002499/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8

扯蛋 |🗼四川,#genre#
四川卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225487/2/index.m3u8
四川科教频道,http://3017ugjo.live2.danghongyun.com/live/hls/4dc0e927160647a2bd585cb5495810be/3c2126c925204cddb74a3534b97e2765-1.m3u8
绵阳综合,http://live.sctvcloud.com/live/mytvzh/playlist.m3u8
绵阳公共,http://live.sctvcloud.com/live/mytvgg/playlist.m3u8
绵阳科技,http://live.sctvcloud.com/live/mytvgg/playlist.m3u8
南充新闻,https://nczbpull.ncntv.com.cn/nctv/2004.m3u8
南充新闻,http://tv.drs.ncntv.com.cn:8100/channellive/nczhpd.flv
南充公共,https://nczbpull.ncntv.com.cn/nctv/2005.m3u8
南充公共,http://tv.drs.ncntv.com.cn:8100/channellive/ncggpd.flv
南充科教,https://nczbpull.ncntv.com.cn/nctv/2006.m3u8
南充科教,http://tv.drs.ncntv.com.cn:8100/channellive/nckjpd.flv
乐山新闻综合,http://channellive.leshantv.net/live/ch1.flv
乐山公共频道,http://channellive.leshantv.net/live/ch2.flv
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
广安公共频道,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8
雅安新闻综合,https://m3u8channel.wuxianyaan.com/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
雅安新闻综合,http://m3u8.channel.yatv.tv/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
雅安新闻综合,http://flv.drs.tv.yatv.tv:8080/channellive/xinwen.flv
雅安公共频道,https://m3u8channel.wuxianyaan.com/cms/videos/nmip-media/channellive/channel2/playlist.m3u8
雅安公共频道,http://m3u8.channel.yatv.tv/cms/videos/nmip-media/channellive/channel2/playlist.m3u8
雅安公共频道,http://flv.drs.tv.yatv.tv:8080/channellive/gonggong.flv
雅安雨城频道,http://m3u8.ycchannel.yatv.tv/cms/videos/nmip-media-yc/channellive/channel1/playlist.m3u8
雅安雨城频道,http://flv.drs.tv.yatv.tv:8080/channellive/yucheng.flv
广元综合频道,https://m3u8.channel.dzsm.com/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
